archived_urlkey,archived_timestamp,parsed_archived_timestamp,archived_tweet_url,parsed_archived_tweet_url,original_tweet_url,parsed_tweet_url,available_tweet_text,available_tweet_is_RT,available_tweet_info,archived_mimetype,archived_statuscode,archived_digest,archived_length
"com,twitter)/apralky/status/1873472903859360006",20241229205522,,https://web.archive.org/web/20241229205522/https://twitter.com/apralky/status/1873472903859360006,https://web.archive.org/web/20241229205522/https://twitter.com/apralky/status/1873472903859360006,https://twitter.com/apralky/status/1873472903859360006,https://twitter.com/apralky/status/1873472903859360006,,,,application/json,-,YLYA5XIFMR7M6RPU4ZC557UD6USL7I44,1377
"com,twitter)/apralky/status/1873421030737473775",20241229172914,,https://web.archive.org/web/20241229172914/https://twitter.com/apralky/status/1873421030737473775,https://web.archive.org/web/20241229172914/https://twitter.com/apralky/status/1873421030737473775,https://twitter.com/apralky/status/1873421030737473775,https://twitter.com/apralky/status/1873421030737473775,,,,application/json,-,XBHBAX2PEP63RONJUDILMUGAWPG4K4IL,1559
"com,twitter)/apralky/status/1873423658024059329",20241229173941,,https://web.archive.org/web/20241229173941/https://twitter.com/apralky/status/1873423658024059329,https://web.archive.org/web/20241229173941/https://twitter.com/apralky/status/1873423658024059329,https://twitter.com/apralky/status/1873423658024059329,https://twitter.com/apralky/status/1873423658024059329,,,,application/json,-,WMG4HDJQHGM6ATYMY5XXSITVPLOQ4AWS,1869
"com,twitter)/apralky/status/1873810288337990073",20241230191601,,https://web.archive.org/web/20241230191601/https://twitter.com/apralky/status/1873810288337990073,https://web.archive.org/web/20241230191601/https://twitter.com/apralky/status/1873810288337990073,https://twitter.com/apralky/status/1873810288337990073,https://twitter.com/apralky/status/1873810288337990073,,,,application/json,-,ATHHBJZ4DZW7SAPIG6UNEQE5E76NS6DV,1461
"com,twitter)/apralky/status/1873969040491962398",20241231054650,,https://web.archive.org/web/20241231054650/https://twitter.com/apralky/status/1873969040491962398,https://web.archive.org/web/20241231054650/https://twitter.com/apralky/status/1873969040491962398,https://twitter.com/apralky/status/1873969040491962398,https://twitter.com/apralky/status/1873969040491962398,,,,application/json,-,K4CK7UYGFTGQUVK4JUC2FTBCWE7O73WD,1707
"com,twitter)/apralky/status/1873708755319435355",20241230123233,,https://web.archive.org/web/20241230123233/https://twitter.com/apralky/status/1873708755319435355,https://web.archive.org/web/20241230123233/https://twitter.com/apralky/status/1873708755319435355,https://twitter.com/apralky/status/1873708755319435355,https://twitter.com/apralky/status/1873708755319435355,,,,application/json,-,Y2W2CVJ6EDVFLVCTRYSKBV33LG7W5YQE,1360
"com,twitter)/apralky/status/1873744313651540032",20241230145351,,https://web.archive.org/web/20241230145351/https://twitter.com/apralky/status/1873744313651540032,https://web.archive.org/web/20241230145351/https://twitter.com/apralky/status/1873744313651540032,https://twitter.com/apralky/status/1873744313651540032,https://twitter.com/apralky/status/1873744313651540032,,,,application/json,-,ASFCGGWOXOV2LFB5QZCOPAPCNXIRSCTG,1173
"com,twitter)/apralky/status/1873808188048654777",20241230190740,,https://web.archive.org/web/20241230190740/https://twitter.com/apralky/status/1873808188048654777,https://web.archive.org/web/20241230190740/https://twitter.com/apralky/status/1873808188048654777,https://twitter.com/apralky/status/1873808188048654777,https://twitter.com/apralky/status/1873808188048654777,,,,application/json,-,O3OUJ2TJHXDLSQZDYHTP2B56BYILNK2M,2121
"com,twitter)/apralky/status/1873977864170988025",20241231062154,,https://web.archive.org/web/20241231062154/https://twitter.com/apralky/status/1873977864170988025,https://web.archive.org/web/20241231062154/https://twitter.com/apralky/status/1873977864170988025,https://twitter.com/apralky/status/1873977864170988025,https://twitter.com/apralky/status/1873977864170988025,,,,application/json,-,RJXMSO2HNCO7H6BPENAT6YESTSP2BIP4,1202
"com,twitter)/apralky/status/1873978514468462672",20241231062429,,https://web.archive.org/web/20241231062429/https://twitter.com/apralky/status/1873978514468462672,https://web.archive.org/web/20241231062429/https://twitter.com/apralky/status/1873978514468462672,https://twitter.com/apralky/status/1873978514468462672,https://twitter.com/apralky/status/1873978514468462672,,,,application/json,-,3HFHT3B6ACALEMOM723SHL2LSM6DHI2N,1835
"com,twitter)/apralky/status/1873809804831187136",20241230191405,,https://web.archive.org/web/20241230191405/https://twitter.com/apralky/status/1873809804831187136,https://web.archive.org/web/20241230191405/https://twitter.com/apralky/status/1873809804831187136,https://twitter.com/apralky/status/1873809804831187136,https://twitter.com/apralky/status/1873809804831187136,,,,application/json,-,ZCRFRB5JDFWQHPWSKG4KO35J4QTU5BUV,1440
"com,twitter)/apralky/status/1874013374994133345",20241231084300,,https://web.archive.org/web/20241231084300/https://twitter.com/apralky/status/1874013374994133345,https://web.archive.org/web/20241231084300/https://twitter.com/apralky/status/1874013374994133345,https://twitter.com/apralky/status/1874013374994133345,https://twitter.com/apralky/status/1874013374994133345,,,,application/json,-,CTXPTC2EM2DBSLTAAR4GOHSVPPBSPR2X,1378
"com,twitter)/apralky/status/1874019413508362706",20241231090700,,https://web.archive.org/web/20241231090700/https://twitter.com/apralky/status/1874019413508362706,https://web.archive.org/web/20241231090700/https://twitter.com/apralky/status/1874019413508362706,https://twitter.com/apralky/status/1874019413508362706,https://twitter.com/apralky/status/1874019413508362706,,,,application/json,-,LQB5LPSBLVP3CEWVCXONKEWICORFAQYY,1480
"com,twitter)/apralky/status/1873976334466334998",20241231061549,,https://web.archive.org/web/20241231061549/https://twitter.com/apralky/status/1873976334466334998,https://web.archive.org/web/20241231061549/https://twitter.com/apralky/status/1873976334466334998,https://twitter.com/apralky/status/1873976334466334998,https://twitter.com/apralky/status/1873976334466334998,,,,application/json,-,E7XRWUS22QA2HC7R7UKZLE423XN45MUP,1571
"com,twitter)/apralky/status/1874023701987156314",20241231092402,,https://web.archive.org/web/20241231092402/https://twitter.com/apralky/status/1874023701987156314,https://web.archive.org/web/20241231092402/https://twitter.com/apralky/status/1874023701987156314,https://twitter.com/apralky/status/1874023701987156314,https://twitter.com/apralky/status/1874023701987156314,,,,application/json,-,HUA5PMXSXAT2UQE42DHRYAVK7BF5L3TQ,1012
