tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
1637506939318947843,"As the bottom of the last cycle was marked by forced selling from hedge funds

Bottom of next cycle could be marked by capitulation from developing nations

Nayib Bukele + El Salvador as a test run; next cycle, we see small countries overleveraging on BTC near the top

Years away",en,Tweet,347,3194,318,117,318766,2023-03-19 18:30:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1637513063095058435,"@TraderZayne @PaulioK87 No

Study 2019

https://t.co/wQ3fx2GuGn",en,Reply,11,78,5,5,20558,2023-03-19 18:55:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://twitter.com/GCRClassic/status/1616640266479325185,,
1649508878269153280,"Solidity Debugger Pro is here! 

Solidity Debugger Pro is a VS Code extension that allows you to debug Solidity smart contracts. It is free &amp; open source, cross-platform, and supports all EVM blockchains. Get it from the marketplace!",en,Tweet,77,281,58,16,756574,2023-04-21 22:22:17,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">advertiser-interface</a>",,,,
1637512240935976961,"@Elmario98334491 people always want to interpret my tweets in such a binary manner

if I say no all time highs in 2023, they want go max short

if i discuss the nature of a bull market years away, they want to go max long

this isn't going  'Up Only;  I've always compared this to 2019

study 2019",en,Reply,23,211,8,9,11615,2023-03-19 18:51:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1637508299179319297,"@PaulioK87 I've been pretty emphatic the bottom was in for months now;  said it at 16k, and then 20k, and then 22k

i think people need to finally come to terms they're never getting the 12k they wanted;  even when we inevitably do get a correction, it will not be back to 2022 lows",en,Reply,31,416,32,17,14896,2023-03-19 18:36:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1637507531726544896,"@vivideonic Many don't understand echo bubbles, or that they are the beginning stages and base for a bull run to come

See this tweet from January

https://t.co/wQ3fx2GuGn",en,Reply,19,179,12,8,23267,2023-03-19 18:33:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://twitter.com/GCRClassic/status/1616640266479325185,,
1637448565944381442,"US Hyperinflation Before 2050?

Forecasters on metaculus are assigning it 5%

And this gives a 27 year time interval, much longer than a few months

I went much higher than 5%, but still very unlikely [(CPI U) has an annual growth rate of at least 100%]

https://t.co/PO329i5LZ3",en,Tweet,71,625,53,53,112214,2023-03-19 14:38:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.metaculus.com/questions/6604/us-hyperinflation-before-2050/,,
1637454182012575745,"@HumaCapital I view it unlikely BTC will flip the marketcap of GOLD in those time intervals

At 1 million, it's 2x GOLD [although have to factor in future appreciation of GOLD, which I also hold]",en,Reply,5,107,2,13,8710,2023-03-19 15:01:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1637235380637278208,"@wabdoteth @balajis not short, and still holding my long term btc and eth bags

but thought people need some realistic expectations or they'll get shaken out of the long game when they're not millionaires in 3 months",en,Reply,10,457,17,16,19078,2023-03-19 00:31:47,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1637232729765949440,"@balajis as the years pass, we will increasingly trust code over governments

but it happens over years and decades, not months 

1 million usd is obviously unrealistic;  but even a more reasonable target, breaking all time high of 69k, will not happen in 2023

nature is still healing",en,Reply,60,1944,107,79,195722,2023-03-19 00:21:15,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1595567684065923072,"crypto dead forever?

while we will spend the lions share of energy+ambitions erecting even more complex and obfuscated ponzi schemes

we are, very slowly, replacing the global financial system with software that nobody controls

digital assets for an increasingly digital reality",en,Tweet,170,4746,715,370,,2022-11-24 00:59:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1637227437200113665,"@joshpagano @nauhcner echo bubble
price targets for this year have become wildly optimistic

can't believe anyone is entertaining 1 million per coin

no chance of new all time highs in 2023
none

remain bullish on the future and what we're building",en,Reply,17,239,29,12,59422,2023-03-19 00:00:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1636909879028858880,@nauhcner they didn't listen because I sold my account,en,Reply,0,70,0,5,4486,2023-03-18 02:58:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1636854483148759042,He who chases two rabbits catches neither,en,Tweet,91,2520,327,180,268488,2023-03-17 23:18:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1636385208969867264,"It's been repeated on CT for years, and is some of the most obvious advice

But for those of you who haven't digested it;  if you don't have much cash and looking to get capitalized

There's no greater opportunity in this world than farming airdrops;  can really change your life",en,Tweet,427,3163,378,133,783318,2023-03-16 16:13:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1636385733593419780,"@AM2hot4u it's not really something I know much about since I've never been a big on chain guy, and not scalable for me

but if you're just starting out, get in some discord or telegram chats with other people on the grind, and i'm sure they discuss their airdrop strategies pretty openly",en,Reply,38,383,8,12,42031,2023-03-16 16:15:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1635625414453342210,"The old paradigm of fractional reserve banking will increasingly lose sustainability in the social media era

Information flows quicker, causing a reflexive spiral of quicker bank runs that can easily be triggered

Slowly, but surely, people will demand an alternative; a new path",en,Tweet,72,1898,294,88,291890,2023-03-14 13:54:21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1635311349218816001,"sentiment poll

what % of your net worth is allocated to crypto, not including stables

and in replies, which tokens are you in at what exposure level?",en,Tweet,32,521,57,550,268472,2023-03-13 17:06:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1635109644774543360,History is on our side;  we trust code over governments,en,Tweet,94,1425,119,72,380233,2023-03-13 03:44:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1635110907247476736,@Tulucrypto at $1450,und,Reply,0,98,1,9,10403,2023-03-13 03:49:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1634655333292335104,"Natural question;  if not USDC, then what?
I've long warned to not trust any stablecoins [including USDT]

If you're in stables, sell it for fiat and send it to a bank that is too big to fail [JP Morgan, BoA, Wells Fargo tier] and backed by armies

If you're in BTC, cold storage",en,Tweet,67,1151,107,103,308800,2023-03-11 21:39:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1634669428196487170,"@CryptoChrisG tweet cited says, ""tentatively, might change my mind in the future""

turns out, I changed my mind with more info + told people to get to custodians a full week before they paused withdrawals

if you didn't take my advice, its unfortunate

good meme though

https://t.co/girDBeQVOo https://t.co/14tlO0Ofl1",en,Reply,0,65,0,8,15767,2023-03-11 22:35:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://twitter.com/GCRClassic/status/1588582650192990208,photo,https://pbs.twimg.com/media/Fq-C8ThWAAEAUwN.png
1634667851716894721,"@CryptoChrisG A popular meme
Reality

In june, in a reply to a reply to a tweet, I casually included ftx with coinbase and binance as safe, but stressed it was tentative and subject to change

A full week before they paused withdrawals +went bust, I changed my stance and told people to custody https://t.co/E5bNq9mpO8",en,Reply,1,44,0,4,8478,2023-03-11 22:29:21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/Fq-BtE4XwAMyfgQ.png
1634654479931920390,"If you bought the crash on USDC, take profit here at 97c;  no point being greedy for another 3%

The past few years should have taught a lesson to not trust official statements or promises

Not trying to cause panic or alarm, but you're better safe than sorry",en,Tweet,46,1714,149,98,801927,2023-03-11 21:36:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1631678486476738560,My inverse investments are with great companies https://t.co/AxPTNoK4JL,en,Tweet,55,1043,50,124,374567,2023-03-03 16:30:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/FqTi5pzXoAMxWAJ.jpg
1632830468549668867,"@SP33QR @AliDTwitt Never shilled FTX, never had a referral link, called out their predatory tokenomics, rejected all venture, angel deals, and sponsorships from FTX/Alameda

A week before they halted withdrawals, on Nov 4, when asked if I thought FTX was still safe, told ppl move funds to custody https://t.co/wVbcbMcl8w",en,Reply,4,104,2,12,13377,2023-03-06 20:48:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/Fqj6lZ3X0AQOewj.png
1632826395335225345,"Some more context 

Although GOP wouldn't advocate for crypto as part of the campaign, Republican control would be indirectly bullish 

1-More libertarian leaning/free market absolutists appointed to regulatory bodies such as SEC [compare Jay Clayton to Gensler

2-More dovish Fed",en,Tweet,23,710,48,74,233506,2023-03-06 20:32:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1632827666217816065,"@Sahibtrade On vacation for next few weeks and routine maintenance

See this tweet

https://t.co/bPI4w05ZXY",en,Reply,4,83,1,10,16324,2023-03-06 20:37:06,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://twitter.com/GCRClassic/status/1631679542174556164,,
1631679542174556164,"@AliDTwitt As I would consistently say in 2022, PNLs are not an endorsement to keep funds on centralized exchanges

I keep ~10% of my net worth/less as collateral on cexes, and advocate people learn how to self custody

This is not a specific attack on any individual cex; general guidance",en,Reply,10,154,3,6,35579,2023-03-03 16:34:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1631577381864448003,"@blockchaingod69 Buying quality coins for long term and shorting garbage was/is the play. 

GCR told everyone what he was doing but most people still manage to fuck it up.",en,Retweet,23,319,33,18,69874,2023-03-03 09:48:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1631673098415267843,@BigRonnie888 @blockchaingod69 Had some people message me that they didn't know what an inverse investment was,en,Reply,3,134,3,14,11094,2023-03-03 16:09:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1631292292718796800,"Most laws and regulations that are initially written under the pretense of 'protecting retail', are in time, coopted by powerful interests to entrench their financial hegemony

Mostly psyops;  rarely accomplishes initial objectives",en,Tweet,37,1375,115,70,151370,2023-03-02 14:56:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1630967395912122384,@brocate1999 @IntuitioCapital @Fast422 okx exchange fee token,en,Reply,0,24,1,7,4320,2023-03-01 17:25:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1630965130967109632,"@IntuitioCapital @Fast422 if you remove stablecoins, which was always a given

dog stock is basically already a top 5 coin, so prediction has already happened [use coinmarketcap, coingecko has inaccurate supply for OKB]

there's better opportunities",en,Reply,1,45,1,7,2008,2023-03-01 17:16:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1630584228021694467,"There is bipartisan opposition to crypto within the United States

Crypto as an asset class is pretty widely reviled, and seen as a conduit for scams and fraud

It would actually be one of the worst populist causes, even for the right, and GOP politicians recognize this;",en,Tweet,21,690,37,53,572709,2023-02-28 16:02:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1630589816592015362,"@0xzuberg @VaderTrader_ even if you just polled young degens on crypto twitter, majority of them now have an unfavorable view of the very industry they're in

and somehow people think crypto would be a winning populist wedge issue for the right with young people broadly across the population",en,Reply,2,46,0,3,4263,2023-02-28 16:24:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1630584688233312262,"What should you expect for the 2024 election cycle;  for both parties to continue to be unified in calling crypto a scam [including Trump himself]

Although a good % of Americans own 'crypto', this is typically Bob Johnson down 90% on the $100 of dog stock he bought at the top",en,Tweet,11,603,33,46,163142,2023-02-28 16:04:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1630586835889016833,"@defisexbot my guess is

he willframe it as a 'digital collectible' like baseball cards, if pressed on the issue; deny it was crypto

and even admit that he had little to do with it besides being paid for doing an ad [a defense tactic he used for 'Trump University']

but i doubt it comes up",en,Reply,1,83,1,5,6230,2023-02-28 16:12:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1630585346529411074,"@VaderTrader_ Trump was paid a hefty amount of money by a third party to basically read a script about something he knows nothing about;   he's just not the type of person who will turn down free money for 30 seconds of work

He will not mention NFTs again, and if asked about it, will deflect",en,Reply,2,105,4,4,6435,2023-02-28 16:06:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1630096770209312768,@lickitysplit_7 @CL207 @AG123321GA,qam,Reply,2,19,0,0,7575,2023-02-27 07:45:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1630095643631812609,"@lickitysplit_7 @CL207 AGI123 one of the all time great prediction market traders [maybe top 5], not well enough known outside of PI circles

https://t.co/J5pwBE9bk7",en,Retweet,24,158,14,5,52675,2023-02-27 07:41:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://twitter.com/AG123321GA,,
1630095643631812609,"@lickitysplit_7 @CL207 AGI123 one of the all time great prediction market traders [maybe top 5], not well enough known outside of PI circles

https://t.co/J5pwBE9bk7",en,Reply,24,158,14,5,52675,2023-02-27 07:41:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://twitter.com/AG123321GA,,
1630090636081737733,"@CL207 long history of cats doing well in markets, it seems",en,Reply,1,174,6,25,23500,2023-02-27 07:21:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1630090401792049153,"@CL207 first met poyo on a discussion forum ['disqus'] for prediction markets almost a decade ago now, and was impressed an actual cat was doing market making for illiquid political contracts

good interview

https://t.co/gSY6LLpKwR",en,Reply,80,203,11,4,30884,2023-02-27 07:20:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://medium.com/sunrise-over-the-merkle-trees/meet-poyo-an-interview-with-augurs-most-controversial-cat-a6bccae9ffe7,,
1628507640354553860,"@doeydonuts I did all my buying around 16-18k in 2022, and don't have much interest in trading it

I intend to dump it on institutions/tradfi funds that will inevitably arrive late in next cycle

I've scaled into some inverse investments on select shitcoins that narrative/rotation has dried",en,Retweet,104,1066,74,58,465372,2023-02-22 22:30:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1628825166561136640,"@adamscochran I'm not seeing it in 23

Coinbase is an exchange for Western retail to buy some litecoins every few years+mostly hold it, maybe convert to ripples

Not a trader's exchange

When they started listing degen low/midcap alts like Binance, they did and continue to do close to 0 volume",en,Reply,20,412,11,30,46223,2023-02-23 19:32:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1628775504915402752,@0xSisyphus Good exit liquidity for A16Z on this pump,en,Reply,12,336,18,21,44422,2023-02-23 16:15:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1628506122356129792,"Believe it to be extraordinarily unlikely Coinbase would launch their own token/security

Being regulatory compliant is the biggest edge they have on other exchanges;  wouldn't make sense to endanger this

Coinbase already has their own altcoin, it just happens to be a stock",en,Tweet,29,1916,62,83,321035,2023-02-22 22:24:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1628553337502040065,"@adamscochran no token

they can do a chain without getting into much trouble",en,Reply,0,122,2,12,19438,2023-02-23 01:32:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1628507640354553860,"@doeydonuts I did all my buying around 16-18k in 2022, and don't have much interest in trading it

I intend to dump it on institutions/tradfi funds that will inevitably arrive late in next cycle

I've scaled into some inverse investments on select shitcoins that narrative/rotation has dried",en,Reply,104,1066,74,58,465372,2023-02-22 22:30:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1628004861462605824,"My tweet re: Greater China's contributions was somehow controversial

West has been conditioned into certain level of sinophobia for past century, with all sorts of implicit biases 

We often see this framing 

Asian projects = ponzis
Western projects = glorification of 'builders",en,Tweet,24,1160,71,114,349055,2023-02-21 13:13:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1628027411928424449,"@runtheirstops @CoinNotes_io Name me literally any alt L1/""eth killer"", it was less of a grift than Cardano [which has delivered nothing]

Same for XRP

Binance was far more innovative/superior exchange relative to Coinbase [grifted on first mover advantage for decade while insiders dumped IPO at top]",en,Reply,2,126,4,11,13136,2023-02-21 14:42:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1628007815934615554,"@CoinNotes_io I don't think thats accurate

there's a certain level of respect given to Charles Hoskinson, Brad Garlinghouse, Brian Armstrong, Hayden Adams, etc

that is not afforded to their Asian equivalents

sure you might realize ADA is a scam, but you still give Hosk some deference",en,Reply,4,141,4,14,11759,2023-02-21 13:24:44,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1628006059137810432,"@PraetorianTroll I literally told people to not buy or invest into the inorganic Chinese shitcoin rotation two days ago, but people only read what they want to read

I can simultaneously give some respect to the East, without promoting speculation on vaporware alt PNDs

https://t.co/xLyHI4QQhd",en,Reply,0,89,2,1,14034,2023-02-21 13:17:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://twitter.com/GCRClassic/status/1627350569189838848,,
1627656999210024962,"@Galois_Capital I've spoken to a lot of extremely bright people in this space, but Kevin Zhou impressed me in particular with his intellect 

Bright future for him ahead despite this setback",en,Reply,9,435,7,11,46920,2023-02-20 14:10:43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1627439899723931651,"Regardless of how you feel about altcoin rotations

We are witnessing a very wholesome moment in crypto right now, with Western and Chinese traders connecting for the first time both on twitter+ in other chats

Driven by the pump inside of us, but friendships being formed

早上好",en,Tweet,67,2042,151,186,648164,2023-02-19 23:48:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1627350569189838848,"While I stand by this thesis
Rotation into shitcoins with flimsiest ties to China is as forced as last week's ZK meta

As nani said, Chinese buying coins that Americans think Chinese people would buy

Americans buying coins they think Chinese ppl are buying

Just another rotation",en,Tweet,88,1495,123,113,858361,2023-02-19 17:53:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1627353797277229064,"@resdegen It can sustain, I'm just a niche account on the bird app with a mere 120k followers

I just don't want people losing money buying some random shitcoin PND because 'GCR said the next cycle will be fueled by Asia'

Most of these coins aren't even Chinese",en,Reply,3,260,6,14,20148,2023-02-19 18:05:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1612431373851140097,"I believe China, (and Asia in general) will fuel the next run

It will take quite some time to melt Western cynicism towards this space, but the East is ascending and yearning to flex

You should be hanging out in WeChat
Many future pumps will be on coins none of your circle know",en,Tweet,674,5953,759,495,2131936,2023-01-09 13:49:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1626689770918125568,"@degengambleh ""A person who chases two rabbits catches neither.” ~ Confucius",en,Reply,10,159,17,9,17437,2023-02-17 22:07:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1625831391882539008,"If this was still 2022, the headlines from the past week, and 'macro concerns', would have completely nuked us

What year is it though?

People wish to ascribe recent price action to simply 'mean reversion' from the lows 

not quite 

coins moved from weaker to stronger hands",en,Tweet,81,2332,255,137,372603,2023-02-15 13:16:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1625832577817796610,"@Trader11122 the 2019 echo bubble created a higher low, and set up the foundation for defi summer and the subsequent bull market

for most that had bought the 2018 lows, their best move was just holding [maybe 5% of traders could have timed selling the summer top and rebuying the correction]",en,Reply,18,289,22,14,19399,2023-02-15 13:21:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1625515481846120451,Take note,en,Tweet,80,959,78,71,399403,2023-02-14 16:21:06,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1625052956750905344,"Reminder that you can be in synthetic fiat without holding stablecoins

Don't believe any risk is imminent, but have gotten a lot of questions on this issue",en,Tweet,70,712,50,78,257106,2023-02-13 09:43:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
1624915527352057859,Chat GPT on set point theory https://t.co/yPo4Skyu8v,en,Tweet,67,544,47,104,193041,2023-02-13 00:37:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/Fozb36LXoAApzPW.png
