2026/07/16 15:31:31.992, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:32.515, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:33.038, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:33.561, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:34.084, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:34.607, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:35.130, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:35.653, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:36.177, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:36.701, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:37.224, NVIDIA GeForce RTX 3090, 5634 MiB, 24576 MiB, 0 %
2026/07/16 15:31:37.748, NVIDIA GeForce RTX 3090, 6212 MiB, 24576 MiB, 49 %
2026/07/16 15:31:38.272, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:38.796, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:39.322, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:39.847, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:40.372, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:40.897, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:41.421, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:41.946, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:42.470, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 95 %
2026/07/16 15:31:42.995, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:43.519, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:44.044, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:44.567, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:45.091, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:45.617, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:46.141, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:46.667, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:47.192, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:47.717, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:48.241, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:48.765, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:49.292, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:49.817, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:50.340, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:50.866, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:51.392, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 95 %
2026/07/16 15:31:51.918, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:52.442, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:52.965, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:53.491, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:54.016, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:54.541, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:55.066, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
